Majority.protein.IDs	Gene.names	quantified	Potential.contaminant	Intensity_Ctrl_acetylated_1	Intensity_Ctrl_acetylated_2	Intensity_Ctrl_acetylated_3	Intensity_GFP_Atg8_acetylated_1	Intensity_GFP_Atg8_acetylated_2	Intensity_GFP_Atg8_acetylated_3	LFQIntensity_Ctrl_acetylated_1	LFQIntensity_Ctrl_acetylated_2	LFQIntensity_Ctrl_acetylated_3	LFQIntensity_GFP_Atg8_acetylated_1	LFQIntensity_GFP_Atg8_acetylated_2	LFQIntensity_GFP_Atg8_acetylated_3	ImputedIntensity_Ctrl_acetylated_1	ImputedIntensity_Ctrl_acetylated_2	ImputedIntensity_Ctrl_acetylated_3	ImputedIntensity_GFP_Atg8_acetylated_1	ImputedIntensity_GFP_Atg8_acetylated_2	ImputedIntensity_GFP_Atg8_acetylated_3	iBAQ_Ctrl_acetylated_1	iBAQ_Ctrl_acetylated_2	iBAQ_Ctrl_acetylated_3	iBAQ_GFP_Atg8_acetylated_1	iBAQ_GFP_Atg8_acetylated_2	iBAQ_GFP_Atg8_acetylated_3	razorUniqueCount_Ctrl_acetylated_1	razorUniqueCount_Ctrl_acetylated_2	razorUniqueCount_Ctrl_acetylated_3	razorUniqueCount_GFP_Atg8_acetylated_1	razorUniqueCount_GFP_Atg8_acetylated_2	razorUniqueCount_GFP_Atg8_acetylated_3	AveExpr_GFP_Atg8_acetylated__vs__Ctrl_acetylated	logFC_GFP_Atg8_acetylated__vs__Ctrl_acetylated	P.Value_GFP_Atg8_acetylated__vs__Ctrl_acetylated	adj.P.Val_GFP_Atg8_acetylated__vs__Ctrl_acetylated
Q04307	RPC11	+		22.24676755832652	22.41600474935533	21.859634193299012	22.09224823451547	22.272699544013246	21.639110366785847	21.43819412127463	21.659114331831162	21.12201402538403	21.377407813327206	21.568737431263614	20.926510207113033	20.987137798770007	21.811989179077667	21.44638372827077	21.513308409629246	21.099591380718962	21.23356743372702	23.211284928191354	23.002066944608785	22.45556324260095	22.74814071758213	22.88869917420961	22.257243076681952	0	2	1	1	1	1	21.34866298836561	-0.13301449401440735	0.627465279261249	0.9965342103788666
Q04344	HNT1			24.31049213417091	23.988497730871778	22.9210404120135	23.46473643034295	23.120503837824828	24.016581672454475													24.8599720047569	24.15952242684639	23.101931962036595	23.70559141413077	23.32146596874235	24.219676883071738	1	1	1	1	1	1				
Q04371	YMR027W			20.234338214778646	21.08625027903318	20.164397282874937	20.434042873216146	21.010972487427644	19.61479261355107													19.083378367223546	19.5568352568667	18.644849114756937	18.974458138862875	19.511494900204074	18.11744810602724	1	1	0	0	1	0				
Q04409	EMI2	+		21.469029648426076	20.82084475480855	20.615101995493724	20.005654562999457	21.372254787452714	20.324455922674314	21.150565551862627	20.37549766953659			20.998733652073973		20.699509229358004	20.528372516783094	20.206812233061694	19.413279259292004	20.52958760152932	19.04965581219586	20.160528523884494	19.13388845565559	18.938012550389242	18.388528551659704	19.715235923242663	18.669570138164005	1	1	1	0	2	0	20.071202775369997	-0.8140571020618701	0.11404499996879451	0.9965342103788666
Q04491	SEC13			22.854036469523606	22.426959173483528	22.09904869702147	22.121451151046152	22.41882825779936	21.840222714242977													22.496625744501078	21.691093273849624	21.373049651436045	21.455415539225452	21.712899793108363	21.13642732925172	1	0	1	1	0	0				
Q04697	GSF2	+		22.75788356263291	22.053653489660324	22.0151628609085	22.538425187029528	22.838470514089042	22.252789570389364	21.90695700231441	21.19431512878368	21.131459480623505	21.680805900870993	21.977238411204553	21.397353447326687	21.455900679809787	21.347189976030183	21.455829183510247	21.816706497173033	21.5080923606599	21.704410673940675	21.985435338331534	20.90275009074757	20.874126316044233	21.457352075929983	21.717504550119198	21.133956686119262	0	0	1	0	2	0	21.54802156185397	0.2567632308077954	0.14875756961578648	0.9965342103788666
Q04869	YMR315W			22.379187700600117	21.560263088208533	21.304315388878475	21.755599024008973	22.136927454489836	21.4041605749874													22.021776975577588	20.824397188574626	20.578316343293046	21.089563412188273	21.430998989798837	20.700365189996145	1	1	1	1	1	0				
Q04894	ADH6			23.347623395929347	23.173851101379324	22.32961118481149	22.829556485187226	22.936708201681036	22.63371420866699													22.809640425265	22.257412956103593	21.423039893584242	21.982948627724706	22.050207491348218	21.749346578033915	1	1	1	1	1	1				
Q04947	RTN1	+		23.776126162366584	23.265529921642106	22.96059185145486	23.308720227876023	23.95048078794843	23.03688827534222	23.044115918416473	22.381513115109207	22.24761175495142	22.221396691350034	23.06929995531806	22.229588967104004	22.59305959591185	22.534387962355712	22.571981457838163	22.357297287652074	22.600153904773407	22.536646193717992	23.07767851950899	22.188627104173133	21.893555888034367	22.301647698220258	22.903515405422365	21.9920559725159	4	3	4	3	3	1	22.532254400374864	-0.06844387665408647	0.5964773580866363	0.9965342103788666
Q05016	YMR226C																											0	0	1	0	0	0				
